category,polarity,Anzahl von reviewid
,,157
AMBIENCE#GENERAL,negative,16
AMBIENCE#GENERAL,positive,63
DRINKS#PRICES,negative,1
DRINKS#PRICES,positive,7
DRINKS#QUALITY,negative,6
DRINKS#QUALITY,neutral,1
DRINKS#QUALITY,positive,73
DRINKS#STYLE_OPTIONS,negative,1
DRINKS#STYLE_OPTIONS,positive,11
FOOD#PRICES,negative,5
FOOD#PRICES,neutral,1
FOOD#PRICES,positive,16
FOOD#QUALITY,negative,42
FOOD#QUALITY,neutral,8
FOOD#QUALITY,positive,469
FOOD#STYLE_OPTIONS,negative,12
FOOD#STYLE_OPTIONS,neutral,2
FOOD#STYLE_OPTIONS,positive,44
LOCATION#GENERAL,negative,4
LOCATION#GENERAL,positive,10
RESTAURANT#GENERAL,negative,17
RESTAURANT#GENERAL,neutral,2
RESTAURANT#GENERAL,positive,127
RESTAURANT#MISCELLANEOUS,negative,10
RESTAURANT#MISCELLANEOUS,neutral,1
RESTAURANT#MISCELLANEOUS,positive,12
RESTAURANT#PRICES,negative,13
RESTAURANT#PRICES,positive,20
SERVICE#GENERAL,negative,64
SERVICE#GENERAL,neutral,3
SERVICE#GENERAL,positive,94
